,emdb_id,emdb_map_file,raw_box_size_pixel,raw_pixel_size_angstrom,raw_recommended_contour_level,raw_resolution,downsampled_angpix,label_raw_norm,vol_raw_min,vol_raw_max
46,EMD-36503,emd_36503.map,800,1.087,0.313,3.87,13.5875001549721,-0.414364585401457,1.64636126996978E-13,1.06892442703247
47,EMD-36511,emd_36511.map,800,1.087,0.341,3.67,13.5875001549721,-0.393011676585005,8.23180634984891E-14,1.12358009815216
48,EMD-36513,emd_36513.map,800,1.087,0.399,3.43,13.5875001549721,-0.409811760530202,1.64636126996978E-13,1.35211098194122
49,EMD-36515,emd_36515.map,800,1.087,0.47,3.24,13.5875001549721,-0.408773970762391,9.87816816191978E-13,1.58991646766663
50,EMD-36519,emd_36519.map,800,1.087,0.429,3.21,13.5875001549721,-0.470632454644411,3.29272253993956E-13,1.62080204486847
51,EMD-36527,emd_36527.map,800,1.087,0.336,3.79,13.5875001549721,-0.370394914771256,1.64636126996978E-13,1.06733572483063
52,EMD-36528,emd_36528.map,800,1.087,0.339,3.65,13.5875001549721,-0.405692520378053,8.23180634984891E-14,1.14082360267639
53,EMD-36542,emd_36542.map,800,1.087,0.444,3.7,13.5875001549721,-0.352928609693481,3.29272253993956E-13,1.37233698368073
54,EMD-36543,emd_36543.map,800,1.087,0.353,4.06,13.5875001549721,-0.32907055844231,1.64636126996978E-13,1.05227160453796
55,EMD-36550,emd_36550.map,800,1.087,0.425,4,13.5875001549721,-0.281293847443659,3.29272253993956E-13,1.18268084526062
56,EMD-36553,emd_36553.map,800,1.087,0.48,3.56,13.5875001549721,-0.339672659639045,3.29272253993956E-13,1.45382440090179
57,EMD-36555,emd_36555.map,800,1.087,0.367,4.14,13.5875001549721,-0.325918216473532,3.29272253993956E-13,1.08888864517212
58,EMD-36556,emd_36556.map,800,1.087,0.369,4.25,13.5875001549721,-0.309104721737332,1.23477102023997E-13,1.06817924976349
59,EMD-36557,emd_36557.map,800,1.087,0.439,3.95,13.5875001549721,-0.254415475510259,3.29272253993956E-13,1.17759954929352
60,EMD-36561,emd_36561.map,800,1.087,0.386,4.07,13.5875001549721,-0.325688219567546,6.58544507987913E-13,1.14487099647522
61,EMD-36565,emd_36565.map,800,1.087,0.349,4.06,13.5875001549721,-0.325938769286947,1.64636126996978E-13,1.03551423549652
62,EMD-36567,emd_36567.map,800,1.087,0.325,4.33,13.5875001549721,-0.391652875661098,3.29272253993956E-13,1.0684689283371
63,EMD-36568,emd_36568.map,800,1.087,0.404,4.04,13.5875001549721,-0.311342619275609,1.64636126996978E-13,1.17329752445221
64,EMD-36583,emd_36583.map,800,1.087,0.546,3.21,13.5875001549721,-0.444953927472935,6.58544507987913E-13,1.96740424633026
65,EMD-36584,emd_36584.map,800,1.087,0.51,3.27,13.5875001549721,-0.44162137699024,6.58544507987913E-13,1.82671749591827
66,EMD-36586,emd_36586.map,800,1.087,0.483,3.65,13.5875001549721,-0.308971039769665,3.29272253993956E-13,1.39791536331177
67,EMD-36587,emd_36587.map,800,1.087,0.452,3.22,13.5875001549721,-0.444354403527667,6.58544507987913E-13,1.62693631649017
68,EMD-36588,emd_36588.map,800,1.087,0.521,3.41,13.5875001549721,-0.372630466892805,6.58544507987913E-13,1.66090309619904
69,EMD-13981,emd_13981.map,540,0.83,2.8,2.63,7.00312485918403,-0.844490600503126,2.65217159345354E-09,36.010684967041
70,EMD-14801,emd_14801.map,256,0.889,5.13,3.7,3.55599999427795,-0.546508259829533,1.09514935786592E-07,22.6244468688965
71,EMD-14852,emd_14852.map,256,0.889,5.13,3.9,3.55599999427795,-0.460331995869743,7.82310962677002E-08,19.0116882324219
72,EMD-16519,emd_16519.map,376,1.6000001,0.0541,7,9.40000084042549,-0.165992363181966,1.17991699744024E-10,0.129735022783279
73,EMD-27391,emd_27391.map,640,1.245,0.1,3.4,12.4500000476837,-0.718308218924092,5.75214992282712E-14,0.709995865821838
74,EMD-27684,emd_27684.map,320,0.8349999,0.00938,4.9,4.17499959468842,-0.323120153831698,3.11502601491043E-10,0.027715405449271
75,EMD-27717,emd_27717.map,180,1.48,0.15,6.9,4.16250005364418,-0.826278106265161,8.49043235717772E-09,1.7268979549408
76,EMD-29299,emd_29299.map,256,1.09375,0.09,3.37,4.375,-0.553323483038285,6.14216177918792E-10,0.402976185083389
77,EMD-29603,emd_29603.map,352,0.828,0.45,2.23,4.55400004982948,-0.647671765136491,9.02539223912591E-11,2.55443620681763
78,EMD-33588,emd_33588.map,224,1.014,0.05,2.9,3.54900020360947,-0.923685528930213,1.12273961249556E-19,1.31036746501923
79,EMD-33639,emd_33639.map,256,0.858,0.027,2.7,3.43199992179871,-0.71260991693045,4.93860785599764E-10,0.187897920608521
80,EMD-33739,emd_33739.map,256,0.82,0.1,3.09,3.27999997138977,-0.57638296743676,2.49301745913755E-10,0.472124546766281
81,EMD-33868,emd_33868.map,256,1.08,0.019,3.1,4.32000017166138,-0.705338048459594,1.14059098537539E-12,0.128961339592934
82,EMD-33869,emd_33869.map,256,1.08,0.028,2.9,4.32000017166138,-0.672255359504246,7.0475798807923E-11,0.170864731073379
83,EMD-34216,emd_34216.map,256,1.0979,1.2,3,4.39160013198853,-0.531060621798326,1.74622982740402E-10,5.11793231964111
84,EMD-34496,emd_34496.map,256,1.014,0.0068,3.6,4.05600023269653,-0.90836258437943,1.10991624779899E-08,0.148410767316818
85,EMD-35592,emd_35592.map,240,0.9066,0.35,3,3.39974999427795,-0.701847239269585,6.41243863563901E-11,2.3477897644043
86,EMD-35810,emd_35810.map,800,1.087,0.5,4.3,13.5875001549721,-0.207641455219496,1.40129846432482E-45,1.26205492019653
87,EMD-36374,emd_36374.map,840,0.93,0.7,2.92,12.2062500938773,-0.3664119521484,2.44828051061685E-12,2.20963764190674
88,EMD-36500,emd_36500.map,800,1.087,0.4,3.44,13.5875001549721,-0.418572382596204,3.29272253993956E-13,1.37592363357544
89,EMD-36520,emd_36520.map,800,1.087,0.413,3.36,13.5875001549721,-0.413045403447022,6.58544507987913E-13,1.40726387500763
90,EMD-36521,emd_36521.map,800,1.087,0.387,3.52,13.5875001549721,-0.361980488311339,1.64636126996978E-13,1.2131290435791
91,EMD-36524,emd_36524.map,800,1.087,0.361,3.59,13.5875001549721,-0.366895391696108,4.93908408095989E-13,1.14041185379028
92,EMD-36526,emd_36526.map,800,1.087,0.391,3.45,13.5875001549721,-0.423358815025922,6.58544507987913E-13,1.3561292886734
93,EMD-36536,emd_36536.map,800,1.087,0.424,4.07,13.5875001549721,-0.34627749825901,1.64636126996978E-13,1.2971864938736
94,EMD-36549,emd_36549.map,800,1.087,0.428,3.92,13.5875001549721,-0.264455529289699,3.29272253993956E-13,1.16376376152039
95,EMD-36551,emd_36551.map,800,1.087,0.426,3.93,13.5875001549721,-0.256327143494667,3.29272253993956E-13,1.14566504955292
96,EMD-36552,emd_36552.map,800,1.087,0.445,3.92,13.5875001549721,-0.268916871286216,1.64636126996978E-13,1.2173718214035
97,EMD-36554,emd_36554.map,800,1.087,0.393,3.98,13.5875001549721,-0.274001088099361,2.46954204047994E-13,1.08264625072479
98,EMD-36581,emd_36581.map,800,1.087,0.5,3.4,13.5875001549721,-0.375183472551461,1.64636126996978E-13,1.60046982765198
99,EMD-36591,emd_36591.map,800,1.087,0.562,3.23,13.5875001549721,-0.430942962759892,8.23180607879837E-13,1.97519743442535
100,EMD-40184,emd_40184.map,300,0.825,0.04,2.7,3.86718744412065,-0.945214324545206,1.76549504182777E-11,1.46023571491241
101,EMD-40619,emd_40619.map,512,1.34,6.63,3.3,10.7200002670288,-0.333370837618393,1.22525609238186E-29,19.8911190032959
102,EMD-40960,emd_40960.map,320,0.7888,0.045,3.35,3.94400000572205,-0.633281021954863,5.20625166242073E-12,0.245419532060623
103,EMD-16145,emd_16145.map,540,1.304,0.066,7.76,11.0025001689792,-0.544353704810328,4.46589154545762E-10,0.289698392152786
104,EMD-16327,emd_16327.map,300,1.07,0.149,3.5,5.01562524586916,-0.77563222938144,3.1545027007196E-11,1.32817649841309
105,EMD-16344,emd_16344.map,300,1.07,0.2,3.5,5.01562524586916,-0.679838022304195,2.86772970821414E-12,1.24936759471893
106,EMD-17114,emd_17114.map,320,1.08,0.0628,3.1,5.40000021457672,-0.907605416052471,1.38248407947211E-12,1.35938704013824
107,EMD-17117,emd_17117.map,320,1.08,0.0266,3.8,5.40000021457672,-0.958196624142696,4.36962185185186E-12,1.27262449264526
108,EMD-26258,emd_26258.map,240,1.056,0.17,2.6,3.95999997854233,-0.824947359638775,1.42117109747097E-10,1.94227290153503
109,EMD-26260,emd_26260.map,240,1.056,0.26,2.6,3.95999997854233,-0.86990667200975,2.31795538319091E-09,3.99713039398193
110,EMD-26261,emd_26261.map,240,1.056,0.35,2.7,3.95999997854233,-0.749036019648243,8.81710329747598E-11,2.78924489021301
111,EMD-27483,emd_27483.map,240,1.056,0.4,2.71,3.95999997854233,-0.741239515862606,2.44474218646928E-10,3.09166216850281
112,EMD-27630,emd_27630.map,320,0.8349999,0.268,3.1,4.17499959468842,-0.703722937474463,8.85062786948332E-11,1.809117436409
113,EMD-28869,emd_28869.map,320,0.82799995,0.006,3.2,4.13999974727631,-0.99140702968412,4.70350592241681E-13,1.39649033546448
114,EMD-29247,emd_29247.map,384,1.08,0.128,4,6.48000025749207,-0.745223641339577,1.29695294504018E-08,1.00480270385742
115,EMD-29390,emd_29390.map,700,1.08,0.02,3.5,11.8125004693866,-0.549728122256617,2.62839880069143E-12,0.088835217058659
116,EMD-29392,emd_29392.map,400,1.08,0.025,3.6,6.7500002682209,-0.447669354219942,4.63484840784734E-11,0.090525485575199
117,EMD-29553,emd_29553.map,288,0.83,0.03,3.5,3.73499992489815,-0.454628639218998,6.30635994813833E-12,0.110016778111458
118,EMD-29572,emd_29572.map,288,0.842,0.03,3.4,3.78900003433228,-0.143951167068569,3.16778582531985E-11,0.07008945941925
119,EMD-29903,emd_29903.map,256,1.36,0.02,3.8,5.44000005722046,-0.343844159407519,1.4267310943783E-10,0.060961127281189
120,EMD-29978,emd_29978.map,224,1.115,0.42,3,3.9025000333786,-0.431390009020572,1.2433311269433E-08,1.47728669643402
121,EMD-29979,emd_29979.map,224,1.115,0.44,3.1,3.9025000333786,-0.388782050841156,2.29604557588914E-09,1.43974828720093
122,EMD-33685,emd_33685.map,400,1.1,0.72,2.9,6.87500014901161,-0.700246364062683,2.98023238032297E-11,4.80394506454468
123,EMD-33686,emd_33686.map,400,1.1,0.65,3,6.87500014901161,-0.639962209448303,8.19563861220729E-11,3.61073207855225
124,EMD-34124,emd_34124.map,512,0.82,0.14,3.4,6.55999994277954,-0.764633438322073,1.28621972014104E-12,1.18963372707367
125,EMD-34126,emd_34126.map,512,0.82,0.18,3.4,6.55999994277954,-0.786766687271121,4.50176918312395E-12,1.68829154968262
126,EMD-34128,emd_34128.map,512,0.82,0.14,3.7,6.55999994277954,-0.823221040404241,5.14487888056414E-12,1.58389890193939
127,EMD-34130,emd_34130.map,512,0.82,0.18,3.2,6.55999994277954,-0.739252718173029,5.14487888056414E-12,1.3806471824646
128,EMD-34133,emd_34133.map,512,0.82,0.1,3.4,6.55999994277954,-0.826977846088228,1.28621972014104E-12,1.15592133998871
129,EMD-34135,emd_34135.map,512,0.82,0.14,3.8,6.55999994277954,-0.666127142917881,1.28621972014104E-12,0.838642597198486
130,EMD-34181,emd_34181.map,512,0.82,0.12,3.7,6.55999994277954,-0.702808447926397,1.28621972014104E-12,0.807559967041016
131,EMD-34497,emd_34497.map,256,1.04,0.0068,3.7,4.15999984741211,-0.803208915193803,7.61528562431834E-10,0.069108814001083
132,EMD-34551,emd_34551.map,256,0.8584,3.99,3.92,3.43359994888306,-0.721229309568145,6.45868055926258E-07,28.6256732940674
133,EMD-34586,emd_34586.map,288,0.8584,4.26,4.55,3.86279994249344,-0.586926968772356,2.88308377172086E-09,20.6258926391602
134,EMD-36409,emd_36409.map,200,0.85,0.08,3.09,2.65625007450581,-0.912276705746962,1.43069384464511E-11,1.82391691207886
135,EMD-36450,emd_36450.map,256,1.32,0.02,4.2,5.28000020980835,-0.202089003428873,3.26540405826137E-10,0.050130903720856
136,EMD-36451,emd_36451.map,256,1.32,0.021,3.6,5.28000020980835,-0.165195332680882,1.64765440874293E-11,0.050311170518398
137,EMD-40683,emd_40683.map,240,1.056,0.12,3,3.95999997854233,-0.803616020417774,4.65661287307739E-10,1.22209560871124
138,EMD-40686,emd_40686.map,240,1.056,0.12,2.8,3.95999997854233,-0.818506138600767,4.19959533815018E-09,1.32235872745514
139,EMD-16144,emd_16144.map,300,1.2384,0.045,3.2,5.80499991774559,-0.75367516531353,9.29775076374817E-11,0.365371197462082
140,EMD-16357,emd_16357.map,256,1.09,0.04,3.98,4.3600001335144,-0.950456669381138,4.69890055684874E-12,1.61474812030792
141,EMD-17207,emd_17207.map,300,1.02,0.0144,2.9,4.78124991059303,-0.978169290002673,2.9677232893377E-11,1.31924247741699
142,EMD-27854,emd_27854.map,546,0.665,3.7,2.35,5.67328143306077,-0.598487226967162,8.98989327424715E-10,18.4302978515625
143,EMD-27855,emd_27855.map,500,0.8261,4.8,2.23,6.45390618592501,-0.660003815817978,7.45058059692383E-09,28.2356109619141
144,EMD-27857,emd_27857.map,512,0.665,2.8,2.27,5.32000017166138,-0.655365967690964,3.72529029846191E-09,16.2491207122803
145,EMD-27858,emd_27858.map,500,0.8261,3.4,2.38,6.45390618592501,-0.703346716765075,7.45058059692383E-09,22.9223823547363
146,EMD-27867,emd_27867.map,500,0.665,4.1,2.35,5.19531266763806,-0.492914804144304,5.58793544769287E-09,16.1708526611328
147,EMD-27868,emd_27868.map,500,0.83,3.11,2.25,6.48437486961484,-0.647547232676747,1.49011611938477E-08,17.6477546691895
148,EMD-27869,emd_27869.map,500,0.648,2,1.99,5.06250001490116,-0.732167471945874,3.72529029846191E-09,14.9347057342529
149,EMD-27876,emd_27876.map,500,0.8261,3.8,2.13,6.45390618592501,-0.685103209283594,5.96046447753907E-08,24.1348915100098
150,EMD-27877,emd_27877.map,500,0.83,2,2.29,6.48437486961484,-0.764285597002303,1.30385160446167E-08,16.9696884155273
151,EMD-27878,emd_27878.map,500,0.8261,4.4,2.09,6.45390618592501,-0.662690558660348,7.45058059692383E-09,26.0888042449951
152,EMD-27879,emd_27879.map,500,0.8261,2.524,2.53,6.45390618592501,-0.777031496875196,1.49011611938477E-08,22.6399688720703
153,EMD-27880,emd_27880.map,686,0.525,1.979,2.3,5.62734349444509,-0.716632582792819,3.72529029846191E-09,13.9677314758301
154,EMD-27884,emd_27884.map,512,0.8261,3.72,2.05,6.60879993438721,-0.697933859418073,7.45058059692383E-09,24.6303672790527
155,EMD-27889,emd_27889.map,320,1.08,0.15,3.13,5.40000021457672,-0.761186586878305,5.14992581912566E-09,1.2562108039856
156,EMD-27890,emd_27890.map,320,1.08,0.12,3.43,5.40000021457672,-0.76605469491134,3.9032586190979E-11,1.02588081359863
157,EMD-28870,emd_28870.map,320,0.82799995,0.165,3.2,4.13999974727631,-0.913737691449435,1.04125034983138E-10,3.8255410194397
158,EMD-28871,emd_28871.map,320,0.82799995,0.162,3.1,4.13999974727631,-0.916579488853609,2.08250066496829E-11,3.88393688201904
159,EMD-28983,emd_28983.map,400,0.834,0.3,3.27,5.21249994635582,-0.704181689112283,1.42595091290332E-08,2.02827191352844
160,EMD-29389,emd_29389.map,400,1.08,0.017,3.2,6.7500002682209,-0.629312155681824,6.19186299455343E-12,0.091721378266811
161,EMD-34134,emd_34134.map,512,0.82,0.14,3.3,6.55999994277954,-0.768580046543147,1.92932952600145E-12,1.20992159843445
162,EMD-35609,emd_35609.map,384,0.83,0.238,2.68,4.9799998998642,-0.529465667443891,3.42521760954284E-10,1.01161587238312
163,EMD-35610,emd_35610.map,384,0.83,0.202,2.62,4.9799998998642,-0.619844338133067,1.99565530767387E-10,1.06272256374359
164,EMD-35611,emd_35611.map,384,0.82,0.23,2.17,4.91999995708466,-0.577027620095748,6.4698246760031E-14,1.08754146099091
165,EMD-35613,emd_35613.map,384,0.82,0.274,2.63,4.91999995708466,-0.507263173931853,4.54024567941858E-10,1.11215555667877
166,EMD-35617,emd_35617.map,384,0.82,0.184,2.86,4.91999995708466,-0.606158237951435,9.55625231724433E-11,0.934385418891907
167,EMD-36459,emd_36459.map,256,1.32,0.02,3,5.28000020980835,-0.245936427576806,2.39149033909314E-10,0.053045924752951
168,EMD-40070,emd_40070.map,512,0.8248,0.05,7.4,6.5984001159668,-0.426761606153397,5.02510446448445E-12,0.174447491765022
169,EMD-40071,emd_40071.map,512,0.8248,0.058,6,6.5984001159668,-0.377702638310058,1.76606992918771E-12,0.186406061053276
170,EMD-40072,emd_40072.map,360,0.8248,0.06,6.5,4.63950008153915,-0.345091263685581,1.18449694497258E-10,0.183231636881828
171,EMD-40073,emd_40073.map,360,0.8248,0.06,6.1,4.63950008153915,-0.358842157620878,6.60133059326995E-12,0.187161400914192
172,EMD-40074,emd_40074.map,360,0.8248,0.055,3.6,4.63950008153915,-0.426302150536136,6.08122927014954E-12,0.191738560795784
173,EMD-40075,emd_40075.map,360,0.8248,0.05,4.3,4.63950008153915,-0.522727176744602,3.68247168869296E-11,0.209523767232895
174,EMD-40076,emd_40076.map,320,0.8248,0.2,6.7,4.12400007247925,-0.388862706762377,1.69978267572368E-10,0.654517412185669
175,EMD-40621,emd_40621.map,512,1.39,0.2,3.6,11.1199998855591,-0.742206764353941,2.57263929777878E-24,1.55163109302521
176,EMD-40684,emd_40684.map,240,1.056,0.12,4.2,3.95999997854233,-0.71953266533315,7.64410201803401E-10,0.855714619159699
177,EMD-40691,emd_40691.map,240,1.056,0.002,7.9,3.95999997854233,-0.807914274274989,1.77950763933371E-12,0.02082403562963
178,EMD-15577,emd_15577.map,700,0.846,0.01,3.2,9.25312517210841,-0.377145233515379,5.94272808046581E-12,0.032110214233398
179,EMD-27487,emd_27487.map,324,0.8899999,0.109,3.5,4.50562462583184,-0.738480000610346,1.66105817989148E-09,0.833588242530823
180,EMD-27947,emd_27947.map,560,1.2,0.75,2.66,10.5000004172325,-0.762004816012806,4.49777853850364E-11,6.30264854431152
181,EMD-28532,emd_28532.map,512,0.67,0.0095,3.1,5.3600001335144,-0.647059742378443,1.74912189766785E-12,0.053833473473787
182,EMD-28533,emd_28533.map,512,0.67,0.009,3.3,5.3600001335144,-0.555794950223901,1.59692571666259E-13,0.040521826595068
183,EMD-28982,emd_28982.map,400,0.834,0.3,3.51,5.21249994635582,-0.49060851718849,7.45058095080742E-12,1.17787599563599
184,EMD-28990,emd_28990.map,400,0.834,0.2,3.93,5.21249994635582,-0.459393322869391,9.31322618850927E-13,0.739909470081329
185,EMD-29003,emd_29003.map,360,1.149,0.35,2.9,6.46312527358532,-0.611042167962474,3.27233379282532E-12,1.79968094825745
186,EMD-29683,emd_29683.map,300,1,0.4,3.7,4.6875,-0.319745957173218,1.14709188328566E-11,1.17603123188019
187,EMD-29691,emd_29691.map,360,0.872,0.141,3.5,4.9049998819828,-0.664748418845629,7.63544609483358E-12,0.841159343719482
188,EMD-29701,emd_29701.map,360,0.872,0.1,3.5,4.9049998819828,-0.785690005609852,1.2056327491905E-08,0.933227479457855
189,EMD-29717,emd_29717.map,360,0.872,0.095,3.6,4.9049998819828,-0.647563017000658,1.40657148151036E-08,0.539103388786316
190,EMD-33637,emd_33637.map,256,1.0825,0.41,2.87,4.32999992370606,-0.631004332900887,1.23691279441118E-10,2.22224831581116
191,EMD-33638,emd_33638.map,256,1.0825,0.43,3.21,4.32999992370606,-0.561635223631797,7.27595761418343E-11,1.9618364572525
192,EMD-33644,emd_33644.map,158,0.82899994,0.018,4.4,2.0465935934335,-0.54907440368179,1.65589364442553E-09,0.079835779964924
193,EMD-34066,emd_34066.map,348,0.8584,0.0065,3,4.66754993051291,-0.533619862721233,1.30104260698261E-18,0.027874257415533
194,EMD-34479,emd_34479.map,256,1.1,0.8,3.1,4.40000009536743,-0.708775024811099,5.82076609134674E-11,5.49403429031372
195,EMD-34480,emd_34480.map,256,1.1,0.8,3.07,4.40000009536743,-0.7135531806382,4.65661287307739E-10,5.58567905426025
196,EMD-34644,emd_34644.map,280,0.834,1.03,2.51,3.64874996244907,-0.563693622106825,3.41957644423019E-08,4.7214527130127
197,EMD-34902,emd_34902.map,480,0.55467,0.002,2.77,4.16002482175827,-0.805644749885705,1.26376929754368E-11,0.020580869168043
198,EMD-35369,emd_35369.map,280,0.67,0.3,3.35,2.93125007301569,-0.602056839917391,3.80058956528373E-10,1.50775301456451
199,EMD-35686,emd_35686.map,200,1.08,0.016,3.2,3.37500013411045,-0.637071782770501,3.76006933922035E-11,0.0881717056036
200,EMD-35830,emd_35830.map,256,1.08,0.8,2.95,4.32000017166138,-0.749654471875361,2.03726813197136E-10,6.39116668701172
201,EMD-35928,emd_35928.map,280,0.834,0.904,2.51,3.64874996244907,-0.703551378047839,3.54548901349006E-09,6.09886455535889
202,EMD-35930,emd_35930.map,256,0.82,0.00454,3.3,3.27999997138977,-0.425059138235146,9.2370555648813E-14,0.015792928636074
203,EMD-36167,emd_36167.map,360,1.071,0.45,3,6.02437488734722,-0.776706125847933,1.74524474733095E-11,4.03056287765503
204,EMD-36170,emd_36170.map,360,1.071,0.225,3,6.02437488734722,-0.827173375602693,2.18155597753178E-11,2.6037654876709
205,EMD-36175,emd_36175.map,360,1.071,0.5,2.9,6.02437488734722,-0.748784381861439,7.85360110278077E-11,3.98064422607422
